incident_number,short_description,category,subcategory,priority,state,opened_at,resolved_at,closed_at,assigned_to,assignment_group,opened_by,contact_type,sla_breach,satisfaction_score
INC1000532,Password Reset - User request,Password Reset,VPN Password,P2 - High,Closed,2024-01-25 12:14:33,2024-01-25 12:56:47,2024-01-25 14:06:47,anna.clark,Service Desk L1,Victor.Ingram,Self-Service Portal,false,3.6
INC1000533,Other - User request,Other,General,P3 - Medium,Closed,2024-01-01 14:31:15,2024-01-01 18:11:00,2024-01-01 19:43:00,sarah.jones,Service Desk L1,Sam.Davis,Email,false,5.0
INC1000534,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-18 10:45:57,2024-01-18 21:54:57,2024-01-18 23:07:57,john.smith,Network Team,Uma.Kim,Email,false,3.0
INC1000535,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Reopened,2024-01-05 12:54:57,2024-01-05 22:08:19,,robert.lewis,Service Desk L2,Yuki.Lopez,Walk-in,false,
INC1000536,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-22 16:21:22,2024-01-24 20:03:11,2024-01-24 21:39:11,sarah.jones,Service Desk L2,Karen.Zhang,Email,true,1.0
INC1000537,Hardware Issue - User request,Hardware Issue,Desktop,P2 - High,Closed,2024-01-09 19:20:01,2024-01-10 07:55:52,2024-01-10 09:18:52,emma.white,Service Desk L1,Maria.Evans,Self-Service Portal,true,
INC1000538,Other - User request,Other,General,P4 - Low,Closed,2024-01-15 12:05:20,2024-01-16 06:19:32,2024-01-16 08:02:32,lisa.taylor,Service Desk L1,Alice.Thomas,Phone,false,5.0
INC1000539,Network Connectivity - User request,Network Connectivity,VPN,P3 - Medium,Closed,2024-01-10 10:54:33,2024-01-14 04:01:52,2024-01-14 05:58:52,robert.lewis,Hardware Team,Zara.Roberts,Phone,true,1.0
INC1000540,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P4 - Low,Closed,2024-01-22 11:06:51,2024-01-22 23:42:27,2024-01-23 00:25:27,emma.white,Service Desk L2,Frank.Anderson,Phone,false,3.8
INC1000541,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Closed,2024-01-03 16:30:55,2024-01-04 09:22:07,2024-01-04 09:40:07,robert.lewis,Hardware Team,Henry.Scott,Walk-in,false,4.2
INC1000542,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-24 08:34:43,2024-01-24 22:12:14,2024-01-24 22:47:14,john.smith,Service Desk L1,Karen.Chen,Email,false,2.7
INC1000543,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-22 13:24:44,2024-01-22 16:34:31,2024-01-22 17:00:31,sarah.jones,Hardware Team,Tina.Baker,Email,false,
INC1000544,Other - User request,Other,General,P1 - Critical,Reopened,2024-01-15 07:00:33,2024-01-15 08:20:23,,james.harris,Service Desk L1,David.Vance,Email,false,
INC1000545,Other - User request,Other,General,P4 - Low,Pending,2024-01-11 16:45:54,,,james.harris,Security Team,Victor.Foster,Self-Service Portal,false,
INC1000546,Email / Outlook - User request,Email / Outlook,Mailbox full,P4 - Low,Closed,2024-01-01 11:38:09,2024-01-05 19:23:35,2024-01-05 20:48:35,mike.wilson,Service Desk L1,Bob.Park,Phone,true,
INC1000547,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-05 16:05:42,2024-01-06 21:15:31,2024-01-06 22:52:31,emma.white,Service Desk L1,Peter.Anderson,Chat,true,2.2
INC1000548,Network Connectivity - User request,Network Connectivity,WiFi,P4 - Low,Reopened,2024-01-23 12:19:31,2024-01-29 17:03:56,,emma.white,Hardware Team,Jack.Martin,Email,false,
INC1000549,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Open,2024-01-06 13:43:55,,,lisa.taylor,Service Desk L1,Grace.Scott,Chat,false,
INC1000550,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-22 08:44:07,2024-01-26 10:48:31,2024-01-26 12:28:31,james.harris,Hardware Team,Nathan.Nelson,Self-Service Portal,true,
INC1000551,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-12 15:31:16,2024-01-13 18:10:36,2024-01-13 18:53:36,emma.white,Network Team,Rachel.Johnson,Phone,true,
INC1000552,Software Installation - User request,Software Installation,Business App,P4 - Low,Reopened,2024-01-03 14:25:52,2024-01-04 18:34:53,,james.harris,Service Desk L2,Henry.Nelson,Phone,false,
INC1000553,Email / Outlook - User request,Email / Outlook,Calendar issue,P3 - Medium,Reopened,2024-01-10 10:49:02,2024-01-10 20:32:17,,emma.white,Service Desk L1,Uma.Baker,Phone,false,
INC1000554,Hardware Issue - User request,Hardware Issue,Laptop,P3 - Medium,Closed,2024-01-15 11:14:11,2024-01-15 20:09:11,2024-01-15 21:41:11,john.smith,Service Desk L2,Quinn.Roberts,Phone,false,4.2
INC1000555,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-18 09:09:57,2024-01-18 09:29:53,2024-01-18 10:12:53,lisa.taylor,Service Desk L1,Xander.Hall,Self-Service Portal,false,4.8
INC1000556,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-18 21:40:29,2024-01-19 19:28:13,2024-01-19 21:16:13,anna.clark,Hardware Team,Eve.Baker,Walk-in,false,
INC1000557,Hardware Issue - User request,Hardware Issue,Desktop,P3 - Medium,Closed,2024-01-11 22:08:53,2024-01-12 08:20:21,2024-01-12 09:24:21,anna.clark,Service Desk L1,Olivia.Roberts,Email,false,3.2
INC1000558,System Performance - User request,System Performance,General,P2 - High,Closed,2024-01-19 13:13:25,2024-01-19 13:46:04,2024-01-19 14:07:04,sarah.jones,Service Desk L1,Wendy.Garcia,Chat,false,
INC1000559,Hardware Issue - User request,Hardware Issue,Laptop,P4 - Low,Closed,2024-01-18 22:43:36,2024-01-26 21:43:28,2024-01-26 23:32:28,james.harris,Hardware Team,Alice.Baker,Email,true,1.0
INC1000560,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-15 08:09:13,2024-01-15 15:18:53,2024-01-15 15:53:53,john.smith,Service Desk L1,Wendy.Hall,Email,false,5.0
INC1000561,Other - User request,Other,General,P1 - Critical,Closed,2024-01-11 17:06:48,2024-01-11 18:18:05,2024-01-11 19:19:05,lisa.taylor,Security Team,Frank.Evans,Walk-in,true,
INC1000562,Email / Outlook - User request,Email / Outlook,Mailbox full,P4 - Low,Closed,2024-01-11 08:59:50,2024-01-11 14:44:06,2024-01-11 16:41:06,sarah.jones,Service Desk L2,Quinn.Anderson,Email,false,4.4
INC1000563,Network Connectivity - User request,Network Connectivity,Firewall,P3 - Medium,Pending,2024-01-05 13:44:19,,,mike.wilson,Service Desk L1,Maria.Baker,Email,false,
INC1000564,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-23 09:51:32,2024-01-25 12:09:40,2024-01-25 13:34:40,mike.wilson,Service Desk L1,Henry.Chen,Self-Service Portal,false,
INC1000565,Password Reset - User request,Password Reset,AD Password,P1 - Critical,Closed,2024-01-08 12:55:04,2024-01-08 13:26:01,2024-01-08 14:39:01,john.smith,Service Desk L1,Frank.Chen,Self-Service Portal,false,4.3
INC1000566,Account Unlock - User request,Account Unlock,General,P1 - Critical,Closed,2024-01-22 15:14:13,2024-01-22 15:35:15,2024-01-22 17:07:15,lisa.taylor,Service Desk L2,Frank.Garcia,Chat,false,3.9
INC1000567,Software Installation - User request,Software Installation,Development Tools,P2 - High,Closed,2024-01-12 14:44:48,2024-01-12 17:07:39,2024-01-12 18:38:39,robert.lewis,Service Desk L2,Jack.Young,Phone,false,2.6
INC1000568,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-22 09:46:03,2024-01-22 18:23:07,2024-01-22 19:53:07,john.smith,Service Desk L2,Leo.Park,Walk-in,false,4.3
INC1000569,Software Installation - User request,Software Installation,Microsoft Office,P3 - Medium,Closed,2024-01-10 09:10:02,2024-01-10 11:36:57,2024-01-10 12:50:57,sarah.jones,Service Desk L1,Uma.Evans,Self-Service Portal,false,3.0
INC1000570,Hardware Issue - User request,Hardware Issue,Desktop,P2 - High,In Progress,2024-01-08 08:11:13,,,mike.wilson,Service Desk L1,Nathan.Nelson,Self-Service Portal,false,
INC1000571,Other - User request,Other,General,P4 - Low,Closed,2024-01-01 10:06:04,2024-01-03 16:06:35,2024-01-03 16:48:35,john.smith,Service Desk L1,Karen.Xu,Email,false,3.0
INC1000572,Hardware Issue - User request,Hardware Issue,Desktop,P1 - Critical,Closed,2024-01-11 10:30:04,2024-01-11 14:11:28,2024-01-11 15:47:28,robert.lewis,Hardware Team,Zara.Upton,Self-Service Portal,true,1.0
INC1000573,Email / Outlook - User request,Email / Outlook,Calendar issue,P3 - Medium,Closed,2024-01-12 15:15:31,2024-01-13 08:43:23,2024-01-13 09:39:23,anna.clark,Security Team,Zara.Young,Walk-in,false,4.0
INC1000574,Software Installation - User request,Software Installation,Microsoft Office,P1 - Critical,Closed,2024-01-01 11:14:40,2024-01-01 11:42:30,2024-01-01 12:37:30,lisa.taylor,Service Desk L2,Quinn.Zhang,Self-Service Portal,false,4.3
INC1000575,Network Connectivity - User request,Network Connectivity,WiFi,P1 - Critical,Closed,2024-01-23 10:52:54,2024-01-23 11:28:18,2024-01-23 11:53:18,john.smith,Service Desk L1,Olivia.Ingram,Email,false,2.6
INC1000576,Password Reset - User request,Password Reset,AD Password,P4 - Low,Closed,2024-01-17 07:08:20,2024-01-17 14:03:01,2024-01-17 15:40:01,sarah.jones,Service Desk L1,Xander.Walsh,Email,false,5.0
INC1000577,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-02 08:06:33,2024-01-02 10:39:27,2024-01-02 11:37:27,mike.wilson,Service Desk L2,Olivia.Foster,Email,false,3.4
INC1000578,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-19 08:03:41,2024-01-19 12:05:44,2024-01-19 12:37:44,john.smith,Service Desk L1,Alice.Vance,Self-Service Portal,false,3.6
INC1000579,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-02 04:37:02,2024-01-02 13:35:11,2024-01-02 14:11:11,emma.white,Service Desk L2,Grace.Young,Email,false,
INC1000580,Email / Outlook - User request,Email / Outlook,Calendar issue,P3 - Medium,Closed,2024-01-16 16:25:07,2024-01-17 08:31:56,2024-01-17 09:00:56,robert.lewis,Network Team,Sam.Johnson,Self-Service Portal,false,
INC1000581,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-08 12:56:53,2024-01-08 18:58:08,2024-01-08 20:45:08,sarah.jones,Service Desk L2,Carol.Thomas,Phone,false,3.8
INC1000582,Password Reset - User request,Password Reset,VPN Password,P4 - Low,Closed,2024-01-01 10:54:00,2024-01-02 05:34:55,2024-01-02 05:55:55,mike.wilson,Service Desk L2,Jack.Young,Walk-in,false,4.8
INC1000583,Password Reset - User request,Password Reset,Application Password,P4 - Low,Closed,2024-01-08 08:59:59,2024-01-08 21:54:13,2024-01-08 22:12:13,anna.clark,Service Desk L1,Carol.Xu,Self-Service Portal,false,
INC1000584,VPN Access - User request,VPN Access,General,P3 - Medium,Open,2024-01-22 13:01:02,,,robert.lewis,Hardware Team,Victor.Ingram,Chat,false,
INC1000585,Other - User request,Other,General,P4 - Low,Closed,2024-01-22 15:41:02,2024-01-28 00:18:15,2024-01-28 00:39:15,robert.lewis,Service Desk L1,Karen.Xu,Email,true,
INC1000586,Email / Outlook - User request,Email / Outlook,Mailbox full,P3 - Medium,Closed,2024-01-24 10:22:49,2024-01-25 23:06:04,2024-01-26 00:38:04,lisa.taylor,Service Desk L2,Rachel.Upton,Email,true,1.2
INC1000587,System Performance - User request,System Performance,General,P4 - Low,Closed,2024-01-08 21:50:13,2024-01-09 07:31:56,2024-01-09 08:52:56,anna.clark,Service Desk L1,Karen.Xu,Chat,false,
INC1000588,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-23 11:52:25,2024-01-23 17:32:19,2024-01-23 18:45:19,emma.white,Network Team,Henry.Young,Chat,false,5.0
INC1000589,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P1 - Critical,Closed,2024-01-05 18:12:01,2024-01-05 21:37:20,2024-01-05 22:07:20,james.harris,Service Desk L1,Jack.Nelson,Email,true,1.0
INC1000590,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P3 - Medium,Closed,2024-01-05 13:02:31,2024-01-06 01:54:35,2024-01-06 02:53:35,lisa.taylor,Service Desk L1,Henry.Xu,Walk-in,false,4.8
INC1000591,System Performance - User request,System Performance,General,P3 - Medium,Reopened,2024-01-04 11:47:21,2024-01-04 16:37:42,,james.harris,Service Desk L1,Iris.Walsh,Chat,false,
INC1000592,Email / Outlook - User request,Email / Outlook,Calendar issue,P3 - Medium,Closed,2024-01-05 09:07:44,2024-01-05 15:35:36,2024-01-05 17:17:36,james.harris,Security Team,Yuki.Martin,Phone,false,
INC1000593,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-15 14:37:54,2024-01-16 11:31:12,2024-01-16 13:03:12,robert.lewis,Service Desk L2,Iris.Nelson,Phone,false,2.0
INC1000594,Network Connectivity - User request,Network Connectivity,WiFi,P3 - Medium,Closed,2024-01-03 07:56:42,2024-01-03 09:26:22,2024-01-03 10:01:22,anna.clark,Service Desk L1,Sam.Nelson,Phone,false,
INC1000595,Password Reset - User request,Password Reset,Email Password,P4 - Low,Reopened,2024-01-08 07:08:47,2024-01-08 19:01:58,,david.brown,Security Team,Peter.Park,Phone,false,
INC1000596,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-01 07:08:54,2024-01-01 14:50:33,2024-01-01 15:51:33,lisa.taylor,Network Team,Maria.O'Brien,Phone,false,5.0
INC1000597,Email / Outlook - User request,Email / Outlook,Mailbox full,P4 - Low,Closed,2024-01-12 11:50:32,2024-01-15 00:11:00,2024-01-15 02:04:00,john.smith,Service Desk L2,Maria.Ingram,Email,false,
INC1000598,Hardware Issue - User request,Hardware Issue,Docking Station,P3 - Medium,Closed,2024-01-19 09:34:38,2024-01-20 06:05:43,2024-01-20 07:47:43,anna.clark,Service Desk L2,Uma.Ingram,Phone,false,1.9
INC1000599,Other - User request,Other,General,P4 - Low,Closed,2024-01-12 09:57:20,2024-01-13 10:14:07,2024-01-13 11:02:07,sarah.jones,Service Desk L2,Grace.Zhang,Phone,false,3.4
INC1000600,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-03 14:56:18,2024-01-03 20:34:37,2024-01-03 21:20:37,james.harris,Service Desk L2,Rachel.Martin,Email,false,3.4
INC1000601,Password Reset - User request,Password Reset,AD Password,P4 - Low,Closed,2024-01-15 16:29:59,2024-01-15 22:52:03,2024-01-16 00:09:03,lisa.taylor,Service Desk L2,Yuki.Zhang,Email,false,5.0
INC1000602,Other - User request,Other,General,P3 - Medium,Reopened,2024-01-01 09:35:34,2024-01-01 20:38:06,,anna.clark,Service Desk L1,Henry.Thomas,Email,false,
INC1000603,Email / Outlook - User request,Email / Outlook,Calendar issue,P3 - Medium,Closed,2024-01-18 16:09:01,2024-01-19 05:55:42,2024-01-19 06:30:42,james.harris,Service Desk L1,Olivia.Thomas,Email,false,4.7
INC1000604,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-08 08:00:15,2024-01-08 10:40:44,2024-01-08 11:47:44,james.harris,Service Desk L1,Victor.Park,Self-Service Portal,false,5.0
INC1000605,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-19 09:31:32,2024-01-22 02:35:55,2024-01-22 04:19:55,mike.wilson,Service Desk L1,Tina.Park,Email,true,1.0
INC1000606,Other - User request,Other,General,P4 - Low,Closed,2024-01-11 13:04:28,2024-01-12 08:18:26,2024-01-12 09:28:26,mike.wilson,Service Desk L1,Sam.Upton,Email,false,
INC1000607,Network Connectivity - User request,Network Connectivity,Firewall,P1 - Critical,Closed,2024-01-10 16:24:23,2024-01-10 16:44:42,2024-01-10 17:31:42,john.smith,Service Desk L1,Frank.Quinn,Chat,false,5.0
INC1000608,Password Reset - User request,Password Reset,AD Password,P4 - Low,Reopened,2024-01-05 10:50:50,2024-01-05 14:43:53,,mike.wilson,Hardware Team,Rachel.Davis,Email,false,
INC1000609,Printer Issue - User request,Printer Issue,General,P4 - Low,Reopened,2024-01-17 14:09:34,2024-01-18 07:35:33,,lisa.taylor,Service Desk L1,Frank.Walsh,Phone,false,
INC1000610,Password Reset - User request,Password Reset,VPN Password,P1 - Critical,Closed,2024-01-01 06:24:08,2024-01-01 06:35:33,2024-01-01 07:41:33,david.brown,Service Desk L2,Quinn.Park,Email,false,5.0
INC1000611,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-01 10:23:53,2024-01-01 13:27:38,2024-01-01 14:07:38,mike.wilson,Network Team,Alice.Hall,Email,false,4.7
INC1000612,Security Alert - User request,Security Alert,General,P4 - Low,Closed,2024-01-23 11:29:23,2024-01-24 09:16:16,2024-01-24 09:43:16,john.smith,Service Desk L1,Quinn.Roberts,Email,false,
INC1000613,Network Connectivity - User request,Network Connectivity,VPN,P3 - Medium,Closed,2024-01-27 07:21:12,2024-01-27 15:25:41,2024-01-27 15:47:41,john.smith,Service Desk L1,Leo.Baker,Email,false,4.7
INC1000614,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-25 14:27:48,2024-01-26 03:43:08,2024-01-26 04:17:08,emma.white,Service Desk L1,Carol.Thomas,Self-Service Portal,false,3.7
INC1000615,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P2 - High,Closed,2024-01-02 05:00:08,2024-01-02 15:46:28,2024-01-02 16:27:28,james.harris,Service Desk L1,David.Chen,Email,true,1.0
INC1000616,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-19 12:23:54,2024-01-20 19:22:31,2024-01-20 20:18:31,lisa.taylor,Service Desk L2,Peter.Ingram,Self-Service Portal,true,1.8
INC1000617,Software Installation - User request,Software Installation,Business App,P4 - Low,Closed,2024-01-24 20:25:03,2024-01-24 22:56:29,2024-01-25 00:51:29,john.smith,Service Desk L1,Jack.Chen,Phone,false,5.0
INC1000618,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-03 12:59:56,2024-01-03 13:30:17,2024-01-03 14:32:17,mike.wilson,Service Desk L1,Nathan.Hall,Chat,false,
INC1000619,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-11 09:38:20,2024-01-11 13:05:27,2024-01-11 14:49:27,anna.clark,Service Desk L1,Frank.Johnson,Phone,false,
INC1000620,Software Installation - User request,Software Installation,Adobe Suite,P4 - Low,Closed,2024-01-01 22:39:00,2024-01-02 12:11:22,2024-01-02 13:41:22,mike.wilson,Security Team,Frank.Upton,Phone,false,
INC1000621,Printer Issue - User request,Printer Issue,General,P1 - Critical,Closed,2024-01-24 12:44:18,2024-01-24 14:35:10,2024-01-24 15:55:10,emma.white,Service Desk L1,Eve.Walsh,Chat,true,1.0
INC1000622,Password Reset - User request,Password Reset,VPN Password,P2 - High,Closed,2024-01-01 07:28:08,2024-01-01 08:25:07,2024-01-01 10:02:07,emma.white,Service Desk L2,Frank.Martin,Self-Service Portal,false,5.0
INC1000623,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-01 13:51:16,2024-01-02 02:23:32,2024-01-02 04:22:32,robert.lewis,Service Desk L1,Carol.Park,Chat,false,2.7
INC1000624,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-02 16:15:32,2024-01-03 05:43:19,2024-01-03 07:40:19,emma.white,Service Desk L1,Quinn.Martin,Phone,false,5.0
INC1000625,Security Alert - User request,Security Alert,General,P1 - Critical,Closed,2024-01-14 10:46:51,2024-01-14 11:29:33,2024-01-14 11:52:33,john.smith,Security Team,Iris.Johnson,Email,false,1.6
INC1000626,Security Alert - User request,Security Alert,General,P3 - Medium,Reopened,2024-01-12 13:37:16,2024-01-13 09:12:43,,anna.clark,Security Team,Yuki.Davis,Self-Service Portal,false,
INC1000627,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-27 12:21:11,2024-01-27 14:31:10,2024-01-27 14:48:10,john.smith,Hardware Team,Nathan.Garcia,Self-Service Portal,false,
INC1000628,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-16 09:34:44,2024-01-21 16:50:55,2024-01-21 17:20:55,robert.lewis,Service Desk L2,Frank.Martin,Email,true,1.0
INC1000629,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-17 14:58:58,2024-01-17 20:03:58,2024-01-17 21:54:58,david.brown,Service Desk L1,Frank.Garcia,Chat,false,4.5
INC1000630,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P4 - Low,Reopened,2024-01-03 21:47:14,2024-01-04 19:39:33,,sarah.jones,Service Desk L1,Karen.O'Brien,Email,false,
INC1000631,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-05 10:30:31,2024-01-05 13:44:19,2024-01-05 15:20:19,john.smith,Service Desk L1,Eve.Ingram,Chat,false,4.4
INC1000632,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-03 21:23:04,2024-01-04 11:16:49,2024-01-04 11:42:49,john.smith,Hardware Team,Yuki.Kim,Email,false,4.2
INC1000633,Software Installation - User request,Software Installation,Microsoft Office,P1 - Critical,Closed,2024-01-08 12:05:14,2024-01-08 12:28:07,2024-01-08 14:14:07,emma.white,Service Desk L1,Nathan.Chen,Email,false,3.0
INC1000634,VPN Access - User request,VPN Access,General,P1 - Critical,Closed,2024-01-02 08:06:37,2024-01-02 09:16:58,2024-01-02 11:12:58,john.smith,Service Desk L1,Frank.Xu,Phone,true,
INC1000635,Other - User request,Other,General,P3 - Medium,Closed,2024-01-12 22:00:43,2024-01-12 23:46:12,2024-01-13 00:08:12,emma.white,Security Team,Iris.Hall,Phone,false,3.8
INC1000636,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P1 - Critical,Closed,2024-01-26 09:38:31,2024-01-26 09:58:34,2024-01-26 11:57:34,emma.white,Service Desk L1,Xander.Chen,Self-Service Portal,false,4.6
INC1000637,VPN Access - User request,VPN Access,General,P1 - Critical,Closed,2024-01-08 09:07:36,2024-01-08 09:41:37,2024-01-08 10:53:37,emma.white,Security Team,Victor.Garcia,Email,false,4.4
INC1000638,System Performance - User request,System Performance,General,P4 - Low,Closed,2024-01-22 10:55:42,2024-01-25 21:32:44,2024-01-25 22:07:44,robert.lewis,Security Team,Jack.Evans,Phone,true,
INC1000639,Software Installation - User request,Software Installation,Business App,P2 - High,Closed,2024-01-01 11:48:33,2024-01-01 13:11:35,2024-01-01 14:15:35,sarah.jones,Service Desk L1,Iris.Xu,Self-Service Portal,false,4.0
INC1000640,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-02 09:42:33,2024-01-07 01:22:26,2024-01-07 03:02:26,sarah.jones,Security Team,Alice.Kim,Email,true,2.0
INC1000641,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-25 12:00:30,2024-01-25 13:07:37,2024-01-25 14:37:37,emma.white,Service Desk L2,Karen.Baker,Email,false,4.6
INC1000642,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-09 11:31:14,2024-01-09 22:03:54,2024-01-09 22:23:54,john.smith,Service Desk L1,Henry.Xu,Walk-in,false,
INC1000643,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-01 08:58:37,2024-01-01 11:18:24,2024-01-01 12:03:24,sarah.jones,Service Desk L2,David.Chen,Self-Service Portal,false,5.0
INC1000644,Network Connectivity - User request,Network Connectivity,Ethernet,P4 - Low,Closed,2024-01-16 00:44:22,2024-01-18 10:41:15,2024-01-18 12:09:15,john.smith,Service Desk L1,Grace.Garcia,Phone,false,
INC1000645,Password Reset - User request,Password Reset,Email Password,P2 - High,Closed,2024-01-23 08:08:02,2024-01-23 09:09:23,2024-01-23 10:51:23,david.brown,Service Desk L1,David.Chen,Email,false,3.3
INC1000646,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-08 10:27:14,2024-01-08 12:04:07,2024-01-08 13:34:07,emma.white,Security Team,Nathan.Foster,Walk-in,false,5.0
INC1000647,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P4 - Low,Closed,2024-01-19 09:38:13,2024-01-19 21:58:15,2024-01-19 23:27:15,emma.white,Service Desk L1,Quinn.Foster,Self-Service Portal,false,5.0
INC1000648,Network Connectivity - User request,Network Connectivity,Ethernet,P4 - Low,Closed,2024-01-09 09:03:32,2024-01-10 03:33:34,2024-01-10 04:21:34,lisa.taylor,Service Desk L1,Wendy.Upton,Phone,false,5.0
INC1000649,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-22 06:46:40,2024-01-22 10:39:38,2024-01-22 10:57:38,john.smith,Service Desk L2,Carol.Walsh,Phone,false,
INC1000650,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-05 09:57:34,2024-01-05 11:06:02,2024-01-05 12:43:02,mike.wilson,Service Desk L1,Eve.Foster,Phone,false,
INC1000651,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-02 09:30:02,2024-01-02 17:08:01,2024-01-02 18:11:01,john.smith,Service Desk L2,Nathan.Evans,Email,false,3.8
INC1000652,Printer Issue - User request,Printer Issue,General,P3 - Medium,Reopened,2024-01-17 10:03:23,2024-01-17 12:48:06,,emma.white,Service Desk L2,Zara.Anderson,Email,false,
INC1000653,Printer Issue - User request,Printer Issue,General,P4 - Low,Closed,2024-01-12 08:03:17,2024-01-12 18:44:09,2024-01-12 19:32:09,anna.clark,Service Desk L1,Maria.Walsh,Chat,false,5.0
INC1000654,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-03 10:15:09,2024-01-03 13:46:31,2024-01-03 15:23:31,david.brown,Service Desk L1,David.Johnson,Phone,false,4.0
INC1000655,Other - User request,Other,General,P3 - Medium,Closed,2024-01-23 16:52:24,2024-01-24 16:32:29,2024-01-24 16:52:29,mike.wilson,Network Team,Grace.Xu,Self-Service Portal,false,
INC1000656,Password Reset - User request,Password Reset,Email Password,P4 - Low,Open,2024-01-22 08:50:17,,,lisa.taylor,Network Team,Tina.Walsh,Email,false,
INC1000657,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-03 08:40:03,2024-01-03 12:57:37,2024-01-03 14:19:37,sarah.jones,Service Desk L1,Quinn.O'Brien,Phone,false,4.8
INC1000658,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-04 12:12:15,2024-01-04 20:01:13,2024-01-04 21:08:13,sarah.jones,Network Team,Quinn.Nelson,Walk-in,false,4.9
INC1000659,Printer Issue - User request,Printer Issue,General,P4 - Low,Closed,2024-01-04 01:11:13,2024-01-09 16:24:07,2024-01-09 17:12:07,sarah.jones,Hardware Team,Eve.Baker,Chat,true,1.0
INC1000660,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Reopened,2024-01-03 14:40:49,2024-01-03 15:35:10,,sarah.jones,Service Desk L1,Carol.Hall,Walk-in,false,
INC1000661,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P1 - Critical,Closed,2024-01-23 07:16:59,2024-01-23 11:23:18,2024-01-23 11:43:18,john.smith,Service Desk L2,Nathan.Zhang,Self-Service Portal,true,1.0
INC1000662,Account Unlock - User request,Account Unlock,General,P4 - Low,Closed,2024-01-03 08:08:27,2024-01-04 09:06:05,2024-01-04 10:58:05,mike.wilson,Service Desk L1,Leo.Baker,Self-Service Portal,false,4.6
