ticket_id,subject,category,priority,status,created_at,resolved_at,closed_at,assignee,team,customer,contact_channel,sla_breached,satisfaction_score
SUP-2001110,Account Management - UniServices,Account Management,Medium,Closed,2024-01-06 13:20:16,2024-01-07 04:40:23,2024-01-07 04:54:23,sofia.moreau,Account Team,UniServices,Email,false,
SUP-2001111,Integration Problem - Acme Corp,Integration Problem,Low,Closed,2024-01-25 10:51:37,2024-02-01 00:26:08,2024-02-01 00:40:08,maya.patel,Integration Team,Acme Corp,Email,false,5.4
SUP-2001112,Billing Issue - Acme Corp,Billing Issue,High,Closed,2024-01-24 09:59:44,2024-01-25 08:41:07,2024-01-25 09:08:07,ryan.kim,Finance Support,Acme Corp,Phone,false,
SUP-2001113,Technical Support - TechStart Inc,Technical Support,Medium,Closed,2024-01-12 08:27:09,2024-01-12 18:18:24,2024-01-12 18:51:24,sofia.moreau,Technical Team,TechStart Inc,Chat,false,6.5
SUP-2001114,Account Management - RetailCo,Account Management,Medium,Closed,2024-01-22 15:19:52,2024-01-23 05:33:29,2024-01-23 06:00:29,alex.chen,Account Team,RetailCo,Email,false,8.0
SUP-2001115,Data Export/Import - CityCouncil,Data Export/Import,Medium,Escalated,2024-01-26 10:23:30,2024-01-28 01:51:10,,maya.patel,Technical Team,CityCouncil,Chat,false,
SUP-2001116,Performance Issue - MedGroup,Performance Issue,Medium,Closed,2024-01-25 10:12:24,2024-01-29 06:03:45,2024-01-29 06:43:45,sofia.moreau,Engineering,MedGroup,Portal,false,4.9
SUP-2001117,Billing Issue - Global Finance,Billing Issue,Medium,Closed,2024-01-22 08:10:12,2024-01-22 19:18:20,2024-01-22 20:12:20,maya.patel,Finance Support,Global Finance,Email,false,6.9
SUP-2001118,Account Management - RetailCo,Account Management,Low,Closed,2024-01-26 11:56:21,2024-02-02 07:25:24,2024-02-02 08:24:24,laura.smith,Account Team,RetailCo,Chat,false,8.3
SUP-2001119,Technical Support - Individual,Technical Support,High,Closed,2024-01-05 10:50:17,2024-01-05 13:13:45,2024-01-05 14:12:45,alex.chen,Technical Team,Individual,Chat,false,7.9
SUP-2001120,Technical Support - UniServices,Technical Support,High,Closed,2024-01-25 08:19:11,2024-01-25 16:04:44,2024-01-25 16:31:44,laura.smith,Technical Team,UniServices,Portal,false,7.7
SUP-2001121,Billing Issue - TechStart Inc,Billing Issue,Medium,Closed,2024-01-06 17:11:29,2024-01-07 08:03:13,2024-01-07 08:27:13,alex.chen,Finance Support,TechStart Inc,Portal,false,6.7
SUP-2001122,Integration Problem - UniServices,Integration Problem,Medium,Reopened,2024-01-03 11:25:42,2024-01-04 05:36:30,,thomas.berg,Integration Team,UniServices,Email,false,
SUP-2001123,Data Export/Import - Global Finance,Data Export/Import,Low,Closed,2024-01-08 09:39:18,2024-01-10 21:13:39,2024-01-10 21:39:39,laura.smith,Technical Team,Global Finance,Chat,false,6.5
SUP-2001124,Account Management - RetailCo,Account Management,Medium,Closed,2024-01-22 15:58:46,2024-01-25 13:36:24,2024-01-25 13:57:24,sofia.moreau,Account Team,RetailCo,Portal,false,
SUP-2001125,Feature Request - TechStart Inc,Feature Request,Medium,Closed,2024-01-19 08:33:17,2024-01-20 05:27:41,2024-01-20 06:04:41,jennifer.wu,Product Team,TechStart Inc,Portal,false,5.2
SUP-2001126,Account Management - TechStart Inc,Account Management,High,Escalated,2024-01-09 23:25:21,2024-01-10 01:29:50,,maya.patel,Account Team,TechStart Inc,Chat,false,
SUP-2001127,Technical Support - RetailCo,Technical Support,Low,Closed,2024-01-04 09:24:14,2024-01-06 02:39:42,2024-01-06 02:53:42,laura.smith,Technical Team,RetailCo,Phone,false,6.8
SUP-2001128,Feature Request - RetailCo,Feature Request,High,Closed,2024-01-01 08:16:11,2024-01-01 20:35:10,2024-01-01 20:53:10,carlos.silva,Product Team,RetailCo,Portal,false,5.7
SUP-2001129,Feature Request - CityCouncil,Feature Request,Low,Closed,2024-01-26 16:46:51,2024-01-30 23:02:36,2024-01-30 23:49:36,laura.smith,Product Team,CityCouncil,Email,false,6.7
SUP-2001130,Technical Support - MedGroup,Technical Support,Medium,Escalated,2024-01-04 11:58:05,2024-01-05 14:53:44,,jennifer.wu,Technical Team,MedGroup,Phone,false,
SUP-2001131,Integration Problem - Acme Corp,Integration Problem,Medium,Closed,2024-01-01 14:21:49,2024-01-05 00:49:42,2024-01-05 01:02:42,sofia.moreau,Integration Team,Acme Corp,Email,false,6.7
SUP-2001132,Technical Support - TechStart Inc,Technical Support,Low,Closed,2024-01-23 10:16:45,2024-01-24 05:46:00,2024-01-24 05:57:00,laura.smith,Technical Team,TechStart Inc,Portal,false,
SUP-2001133,Performance Issue - Acme Corp,Performance Issue,Medium,Reopened,2024-01-04 12:36:59,2024-01-06 03:38:48,,sofia.moreau,Engineering,Acme Corp,Chat,false,
SUP-2001134,Account Management - CityCouncil,Account Management,Medium,Closed,2024-01-22 02:47:37,2024-01-22 18:54:36,2024-01-22 19:03:36,jennifer.wu,Account Team,CityCouncil,Chat,false,8.7
SUP-2001135,Billing Issue - RetailCo,Billing Issue,Low,Escalated,2024-01-24 10:30:45,2024-01-27 17:04:01,,laura.smith,Finance Support,RetailCo,Email,false,
SUP-2001136,Integration Problem - UniServices,Integration Problem,Medium,Closed,2024-01-15 15:44:46,2024-01-16 22:24:10,2024-01-16 22:51:10,jennifer.wu,Integration Team,UniServices,Chat,false,
SUP-2001137,Technical Support - CityCouncil,Technical Support,Medium,Closed,2024-01-23 09:20:47,2024-01-27 11:57:22,2024-01-27 12:10:22,alex.chen,Technical Team,CityCouncil,Portal,true,
SUP-2001138,Account Management - Individual,Account Management,Medium,Closed,2024-01-25 14:13:25,2024-01-26 22:05:43,2024-01-26 22:36:43,thomas.berg,Account Team,Individual,Phone,false,6.1
SUP-2001139,Performance Issue - RetailCo,Performance Issue,Low,Closed,2024-01-06 14:36:20,2024-01-08 03:30:58,2024-01-08 04:00:58,jennifer.wu,Engineering,RetailCo,Chat,false,
SUP-2001140,Billing Issue - Acme Corp,Billing Issue,Low,Closed,2024-01-17 08:43:36,2024-01-21 09:02:17,2024-01-21 09:19:17,thomas.berg,Finance Support,Acme Corp,Phone,false,5.0
SUP-2001141,Integration Problem - TechStart Inc,Integration Problem,Low,Closed,2024-01-05 11:34:32,2024-01-08 09:12:32,2024-01-08 10:04:32,laura.smith,Integration Team,TechStart Inc,Chat,false,5.8
SUP-2001142,Feature Request - CityCouncil,Feature Request,High,Closed,2024-01-16 14:08:32,2024-01-16 20:41:41,2024-01-16 21:06:41,jennifer.wu,Product Team,CityCouncil,Chat,false,
SUP-2001143,Billing Issue - MedGroup,Billing Issue,Low,Closed,2024-01-10 20:50:52,2024-01-11 21:35:36,2024-01-11 21:45:36,maya.patel,Finance Support,MedGroup,Chat,false,6.7
SUP-2001144,Technical Support - TechStart Inc,Technical Support,Medium,Closed,2024-01-25 11:51:14,2024-01-25 16:51:03,2024-01-25 17:24:03,maya.patel,Technical Team,TechStart Inc,Chat,false,
SUP-2001145,Feature Request - TechStart Inc,Feature Request,Low,Closed,2024-01-27 10:30:53,2024-02-03 08:41:11,2024-02-03 09:40:11,laura.smith,Product Team,TechStart Inc,Portal,false,5.9
SUP-2001146,Billing Issue - UniServices,Billing Issue,Low,Closed,2024-01-16 01:24:05,2024-01-17 02:38:44,2024-01-17 03:03:44,ryan.kim,Finance Support,UniServices,Portal,false,
SUP-2001147,Account Management - Acme Corp,Account Management,Medium,Reopened,2024-01-17 14:14:35,2024-01-21 00:51:30,,laura.smith,Account Team,Acme Corp,Portal,false,
SUP-2001148,Integration Problem - MedGroup,Integration Problem,Medium,Closed,2024-01-26 14:55:10,2024-01-30 21:28:02,2024-01-30 22:06:02,jennifer.wu,Integration Team,MedGroup,Phone,true,
SUP-2001149,Integration Problem - Acme Corp,Integration Problem,Medium,Closed,2024-01-11 11:13:09,2024-01-13 10:07:42,2024-01-13 10:50:42,sofia.moreau,Integration Team,Acme Corp,Email,false,6.1
SUP-2001150,Technical Support - StartupXYZ,Technical Support,Medium,Closed,2024-01-10 11:05:59,2024-01-11 07:02:27,2024-01-11 07:07:27,alex.chen,Technical Team,StartupXYZ,Phone,false,8.2
SUP-2001151,Account Management - UniServices,Account Management,Low,Closed,2024-01-22 14:16:45,2024-01-25 23:37:28,2024-01-26 00:36:28,laura.smith,Account Team,UniServices,Email,false,6.8
SUP-2001152,Feature Request - StartupXYZ,Feature Request,Medium,Closed,2024-01-26 10:19:36,2024-01-27 21:43:52,2024-01-27 21:58:52,alex.chen,Product Team,StartupXYZ,Portal,false,6.7
SUP-2001153,Account Management - RetailCo,Account Management,Low,Closed,2024-01-19 14:21:55,2024-01-20 11:13:48,2024-01-20 11:20:48,maya.patel,Account Team,RetailCo,Portal,false,
SUP-2001154,Billing Issue - MedGroup,Billing Issue,Low,Closed,2024-01-15 09:19:27,2024-01-23 18:31:01,2024-01-23 19:00:01,alex.chen,Finance Support,MedGroup,Email,false,
SUP-2001155,Feature Request - UniServices,Feature Request,Medium,Closed,2024-01-24 10:05:10,2024-01-27 14:05:18,2024-01-27 14:15:18,maya.patel,Product Team,UniServices,Phone,false,6.6
SUP-2001156,Integration Problem - Individual,Integration Problem,Critical,Reopened,2024-01-02 09:42:16,2024-01-02 11:14:56,,jennifer.wu,Integration Team,Individual,Chat,false,
SUP-2001157,Technical Support - CityCouncil,Technical Support,Medium,Closed,2024-01-04 10:58:33,2024-01-06 04:27:11,2024-01-06 04:46:11,thomas.berg,Technical Team,CityCouncil,Portal,false,5.1
SUP-2001158,Billing Issue - Global Finance,Billing Issue,Medium,Closed,2024-01-11 13:42:39,2024-01-12 21:59:12,2024-01-12 22:55:12,ryan.kim,Finance Support,Global Finance,Chat,false,5.2
SUP-2001159,Billing Issue - TechStart Inc,Billing Issue,Medium,Closed,2024-01-12 19:06:43,2024-01-14 00:38:47,2024-01-14 00:47:47,carlos.silva,Finance Support,TechStart Inc,Email,false,8.0
SUP-2001160,Feature Request - Individual,Feature Request,Medium,Closed,2024-01-18 00:46:46,2024-01-19 02:03:39,2024-01-19 02:16:39,maya.patel,Product Team,Individual,Chat,false,6.8
SUP-2001161,Technical Support - Global Finance,Technical Support,Medium,Closed,2024-01-05 14:10:29,2024-01-08 03:00:56,2024-01-08 03:48:56,thomas.berg,Technical Team,Global Finance,Portal,false,5.0
SUP-2001162,Feature Request - Global Finance,Feature Request,Critical,Closed,2024-01-01 10:17:22,2024-01-01 14:04:06,2024-01-01 14:46:06,jennifer.wu,Product Team,Global Finance,Chat,false,5.3
SUP-2001163,Billing Issue - RetailCo,Billing Issue,Critical,Escalated,2024-01-12 20:28:16,2024-01-12 22:12:09,,laura.smith,Finance Support,RetailCo,Chat,false,
SUP-2001164,Billing Issue - Global Finance,Billing Issue,Low,Closed,2024-01-11 11:20:27,2024-01-12 20:37:12,2024-01-12 21:20:12,sofia.moreau,Finance Support,Global Finance,Phone,false,7.8
SUP-2001165,Billing Issue - CityCouncil,Billing Issue,High,Escalated,2024-01-16 11:55:14,2024-01-16 19:08:14,,laura.smith,Finance Support,CityCouncil,Phone,false,
SUP-2001166,Technical Support - StartupXYZ,Technical Support,Medium,Closed,2024-01-08 16:39:14,2024-01-09 01:09:15,2024-01-09 01:37:15,laura.smith,Technical Team,StartupXYZ,Portal,false,
SUP-2001167,Technical Support - CityCouncil,Technical Support,Low,Closed,2024-01-26 14:27:58,2024-02-02 16:26:45,2024-02-02 17:21:45,laura.smith,Technical Team,CityCouncil,Chat,false,
SUP-2001168,Technical Support - RetailCo,Technical Support,Low,Closed,2024-01-10 12:41:41,2024-01-12 22:24:27,2024-01-12 23:05:27,jennifer.wu,Technical Team,RetailCo,Chat,false,7.2
SUP-2001169,Performance Issue - Individual,Performance Issue,Medium,Closed,2024-01-04 13:38:08,2024-01-05 23:55:31,2024-01-06 00:44:31,carlos.silva,Engineering,Individual,Email,false,7.0
SUP-2001170,Billing Issue - RetailCo,Billing Issue,High,Closed,2024-01-23 21:43:41,2024-01-24 01:21:20,2024-01-24 01:31:20,laura.smith,Finance Support,RetailCo,Chat,false,6.3
SUP-2001171,Technical Support - TechStart Inc,Technical Support,High,Closed,2024-01-10 14:02:51,2024-01-10 16:47:59,2024-01-10 17:04:59,sofia.moreau,Technical Team,TechStart Inc,Chat,false,6.4
SUP-2001172,Integration Problem - TechStart Inc,Integration Problem,Critical,Closed,2024-01-19 10:57:11,2024-01-19 12:54:45,2024-01-19 13:04:45,laura.smith,Integration Team,TechStart Inc,Phone,false,6.9
SUP-2001173,Feature Request - TechStart Inc,Feature Request,High,Closed,2024-01-25 10:44:50,2024-01-26 08:16:40,2024-01-26 08:24:40,jennifer.wu,Product Team,TechStart Inc,Phone,false,
SUP-2001174,Technical Support - Acme Corp,Technical Support,Low,Closed,2024-01-22 11:44:16,2024-01-25 21:58:54,2024-01-25 22:44:54,jennifer.wu,Technical Team,Acme Corp,Portal,false,
SUP-2001175,Integration Problem - Global Finance,Integration Problem,Medium,Closed,2024-01-01 08:28:29,2024-01-04 05:06:02,2024-01-04 06:04:02,maya.patel,Integration Team,Global Finance,Phone,false,5.3
SUP-2001176,Technical Support - RetailCo,Technical Support,Medium,Closed,2024-01-01 08:28:58,2024-01-04 21:46:00,2024-01-04 22:27:00,alex.chen,Technical Team,RetailCo,Phone,false,
SUP-2001177,Data Export/Import - Acme Corp,Data Export/Import,Medium,Closed,2024-01-01 13:55:51,2024-01-03 05:55:49,2024-01-03 06:37:49,carlos.silva,Technical Team,Acme Corp,Phone,false,
SUP-2001178,Performance Issue - Acme Corp,Performance Issue,High,Closed,2024-01-03 08:42:30,2024-01-04 05:30:00,2024-01-04 05:55:00,thomas.berg,Engineering,Acme Corp,Phone,false,3.6
SUP-2001179,Performance Issue - StartupXYZ,Performance Issue,High,Closed,2024-01-17 12:27:46,2024-01-17 16:57:18,2024-01-17 17:36:18,maya.patel,Engineering,StartupXYZ,Portal,false,
SUP-2001180,Feature Request - MedGroup,Feature Request,Medium,Closed,2024-01-12 16:40:00,2024-01-20 18:01:40,2024-01-20 18:17:40,jennifer.wu,Product Team,MedGroup,Chat,true,4.3
SUP-2001181,Data Export/Import - CityCouncil,Data Export/Import,High,Closed,2024-01-09 15:11:36,2024-01-10 03:36:31,2024-01-10 03:54:31,thomas.berg,Technical Team,CityCouncil,Portal,false,
SUP-2001182,Billing Issue - UniServices,Billing Issue,Critical,Escalated,2024-01-22 10:57:13,2024-01-22 11:52:57,,sofia.moreau,Finance Support,UniServices,Phone,false,
SUP-2001183,Account Management - UniServices,Account Management,High,Closed,2024-01-05 12:52:53,2024-01-05 20:26:49,2024-01-05 21:05:49,carlos.silva,Account Team,UniServices,Email,false,
SUP-2001184,Feature Request - RetailCo,Feature Request,Medium,Closed,2024-01-13 09:57:18,2024-01-15 15:29:48,2024-01-15 16:10:48,laura.smith,Product Team,RetailCo,Portal,false,7.3
SUP-2001185,Account Management - CityCouncil,Account Management,Low,Closed,2024-01-19 13:37:23,2024-01-25 20:33:35,2024-01-25 21:11:35,jennifer.wu,Account Team,CityCouncil,Phone,false,6.8
SUP-2001186,Billing Issue - CityCouncil,Billing Issue,High,Closed,2024-01-08 12:43:23,2024-01-08 19:27:00,2024-01-08 19:33:00,ryan.kim,Finance Support,CityCouncil,Email,false,6.2
SUP-2001187,Performance Issue - TechStart Inc,Performance Issue,High,Reopened,2024-01-25 15:38:35,2024-01-26 04:53:36,,carlos.silva,Engineering,TechStart Inc,Email,false,
SUP-2001188,Performance Issue - Acme Corp,Performance Issue,Medium,Reopened,2024-01-26 05:50:09,2024-01-30 03:49:36,,thomas.berg,Engineering,Acme Corp,Email,false,
SUP-2001189,Integration Problem - Individual,Integration Problem,High,Reopened,2024-01-25 09:30:47,2024-01-25 20:27:17,,thomas.berg,Integration Team,Individual,Portal,false,
SUP-2001190,Billing Issue - RetailCo,Billing Issue,Low,Escalated,2024-01-18 11:09:06,2024-01-20 04:29:46,,carlos.silva,Finance Support,RetailCo,Phone,false,
SUP-2001191,Performance Issue - Acme Corp,Performance Issue,Low,Closed,2024-01-18 09:44:43,2024-02-14 22:41:39,2024-02-14 23:00:39,maya.patel,Engineering,Acme Corp,Portal,true,5.2
SUP-2001192,Billing Issue - TechStart Inc,Billing Issue,Medium,Closed,2024-01-03 22:44:56,2024-01-04 22:47:32,2024-01-04 22:53:32,maya.patel,Finance Support,TechStart Inc,Email,false,
SUP-2001193,Billing Issue - CityCouncil,Billing Issue,Medium,Closed,2024-01-09 11:47:02,2024-01-09 21:31:07,2024-01-09 21:47:07,carlos.silva,Finance Support,CityCouncil,Email,false,7.7
SUP-2001194,Feature Request - RetailCo,Feature Request,Medium,Closed,2024-01-09 10:24:45,2024-01-10 20:26:35,2024-01-10 21:14:35,alex.chen,Product Team,RetailCo,Phone,false,6.3
SUP-2001195,Feature Request - Individual,Feature Request,Medium,Closed,2024-01-23 09:20:58,2024-01-24 23:14:29,2024-01-25 00:12:29,jennifer.wu,Product Team,Individual,Chat,false,6.9
SUP-2001196,Integration Problem - RetailCo,Integration Problem,Low,Closed,2024-01-15 13:34:15,2024-01-23 19:19:22,2024-01-23 19:24:22,alex.chen,Integration Team,RetailCo,Email,false,
SUP-2001197,Feature Request - UniServices,Feature Request,Medium,Closed,2024-01-03 13:20:43,2024-01-05 00:49:14,2024-01-05 01:09:14,laura.smith,Product Team,UniServices,Portal,false,6.2
SUP-2001198,Technical Support - Global Finance,Technical Support,Medium,Closed,2024-01-25 09:46:12,2024-01-26 01:52:20,2024-01-26 02:50:20,jennifer.wu,Technical Team,Global Finance,Phone,false,5.4
SUP-2001199,Data Export/Import - Acme Corp,Data Export/Import,Low,Closed,2024-01-08 23:05:56,2024-01-20 15:18:04,2024-01-20 16:15:04,laura.smith,Technical Team,Acme Corp,Chat,true,6.3
SUP-2001200,Technical Support - Acme Corp,Technical Support,Medium,Closed,2024-01-10 14:22:08,2024-01-12 03:10:55,2024-01-12 04:01:55,maya.patel,Technical Team,Acme Corp,Chat,false,
SUP-2001201,Feature Request - UniServices,Feature Request,Medium,Closed,2024-01-04 12:54:19,2024-01-05 21:10:02,2024-01-05 21:35:02,carlos.silva,Product Team,UniServices,Portal,false,5.2
SUP-2001202,Performance Issue - CityCouncil,Performance Issue,Critical,Closed,2024-01-04 09:04:24,2024-01-04 10:37:02,2024-01-04 10:56:02,maya.patel,Engineering,CityCouncil,Portal,false,5.6
SUP-2001203,Account Management - Individual,Account Management,Medium,Closed,2024-01-08 12:57:43,2024-01-09 03:52:05,2024-01-09 04:47:05,laura.smith,Account Team,Individual,Portal,false,8.0
SUP-2001204,Billing Issue - Acme Corp,Billing Issue,High,Closed,2024-01-15 08:28:36,2024-01-15 16:00:18,2024-01-15 17:00:18,ryan.kim,Finance Support,Acme Corp,Chat,false,6.5
SUP-2001205,Feature Request - Global Finance,Feature Request,High,Closed,2024-01-18 10:57:39,2024-01-18 19:55:16,2024-01-18 20:46:16,maya.patel,Product Team,Global Finance,Chat,false,5.2
SUP-2001206,Technical Support - MedGroup,Technical Support,High,Closed,2024-01-05 11:34:33,2024-01-05 18:15:34,2024-01-05 18:39:34,maya.patel,Technical Team,MedGroup,Email,false,6.4
SUP-2001207,Billing Issue - RetailCo,Billing Issue,Low,Closed,2024-01-22 04:11:37,2024-01-25 00:58:35,2024-01-25 01:40:35,thomas.berg,Finance Support,RetailCo,Phone,false,6.4
SUP-2001208,Billing Issue - TechStart Inc,Billing Issue,Low,Escalated,2024-01-04 13:08:56,2024-01-13 10:08:31,,ryan.kim,Finance Support,TechStart Inc,Portal,false,
SUP-2001209,Integration Problem - StartupXYZ,Integration Problem,High,Escalated,2024-01-21 07:41:11,2024-01-21 15:01:18,,laura.smith,Integration Team,StartupXYZ,Email,false,
SUP-2001210,Technical Support - RetailCo,Technical Support,High,Reopened,2024-01-01 09:19:41,2024-01-01 10:41:15,,laura.smith,Technical Team,RetailCo,Portal,false,
SUP-2001211,Integration Problem - TechStart Inc,Integration Problem,Critical,Escalated,2024-01-08 08:06:46,2024-01-08 09:24:21,,maya.patel,Integration Team,TechStart Inc,Phone,false,
SUP-2001212,Integration Problem - Acme Corp,Integration Problem,Low,Escalated,2024-01-01 01:15:31,2024-01-07 15:59:07,,carlos.silva,Integration Team,Acme Corp,Chat,false,
SUP-2001213,Technical Support - Acme Corp,Technical Support,High,Closed,2024-01-22 13:03:10,2024-01-22 16:59:00,2024-01-22 17:20:00,maya.patel,Technical Team,Acme Corp,Email,false,6.5
SUP-2001214,Feature Request - RetailCo,Feature Request,Medium,Closed,2024-01-25 08:37:44,2024-01-26 18:14:04,2024-01-26 19:11:04,alex.chen,Product Team,RetailCo,Phone,false,6.5
SUP-2001215,Feature Request - StartupXYZ,Feature Request,Low,Closed,2024-01-22 09:45:17,2024-02-01 13:08:49,2024-02-01 14:05:49,alex.chen,Product Team,StartupXYZ,Phone,true,
SUP-2001216,Billing Issue - CityCouncil,Billing Issue,Low,Closed,2024-01-12 15:06:06,2024-01-13 18:54:12,2024-01-13 19:04:12,maya.patel,Finance Support,CityCouncil,Email,false,
SUP-2001217,Billing Issue - Acme Corp,Billing Issue,Low,Closed,2024-01-11 12:41:27,2024-01-23 20:04:01,2024-01-23 21:02:01,ryan.kim,Finance Support,Acme Corp,Chat,true,
SUP-2001218,Data Export/Import - Global Finance,Data Export/Import,Medium,Closed,2024-01-12 09:39:20,2024-01-13 03:44:14,2024-01-13 03:58:14,maya.patel,Technical Team,Global Finance,Portal,false,
SUP-2001219,Technical Support - Acme Corp,Technical Support,Low,Escalated,2024-01-02 12:47:10,2024-01-05 02:09:48,,ryan.kim,Technical Team,Acme Corp,Portal,false,
SUP-2001220,Technical Support - Acme Corp,Technical Support,Critical,Closed,2024-01-26 13:19:43,2024-01-26 15:50:35,2024-01-26 16:38:35,jennifer.wu,Technical Team,Acme Corp,Portal,false,
SUP-2001221,Integration Problem - Acme Corp,Integration Problem,Medium,Closed,2024-01-11 10:57:34,2024-01-13 14:34:53,2024-01-13 14:50:53,maya.patel,Integration Team,Acme Corp,Email,false,5.9
SUP-2001222,Technical Support - RetailCo,Technical Support,High,Closed,2024-01-01 10:50:54,2024-01-01 14:41:18,2024-01-01 15:19:18,alex.chen,Technical Team,RetailCo,Email,false,6.8
SUP-2001223,Billing Issue - Acme Corp,Billing Issue,Medium,Closed,2024-01-10 09:02:24,2024-01-10 21:06:18,2024-01-10 21:48:18,jennifer.wu,Finance Support,Acme Corp,Portal,false,7.2
SUP-2001224,Account Management - MedGroup,Account Management,Low,Closed,2024-01-22 07:50:47,2024-01-23 21:55:11,2024-01-23 22:24:11,maya.patel,Account Team,MedGroup,Chat,false,5.8
SUP-2001225,Feature Request - CityCouncil,Feature Request,High,Closed,2024-01-03 09:18:02,2024-01-03 17:15:04,2024-01-03 17:27:04,carlos.silva,Product Team,CityCouncil,Phone,false,
SUP-2001226,Technical Support - TechStart Inc,Technical Support,High,Closed,2024-01-08 09:28:34,2024-01-08 14:51:34,2024-01-08 15:17:34,alex.chen,Technical Team,TechStart Inc,Phone,false,
SUP-2001227,Data Export/Import - Individual,Data Export/Import,Critical,Closed,2024-01-26 10:30:55,2024-01-26 11:58:57,2024-01-26 12:14:57,sofia.moreau,Technical Team,Individual,Chat,false,6.4
SUP-2001228,Billing Issue - UniServices,Billing Issue,Medium,Closed,2024-01-08 22:35:49,2024-01-09 11:45:08,2024-01-09 12:41:08,maya.patel,Finance Support,UniServices,Portal,false,6.8
SUP-2001229,Performance Issue - TechStart Inc,Performance Issue,Medium,Closed,2024-01-17 08:20:48,2024-01-18 07:58:56,2024-01-18 08:08:56,maya.patel,Engineering,TechStart Inc,Chat,false,
SUP-2001230,Technical Support - CityCouncil,Technical Support,High,Closed,2024-01-04 15:31:51,2024-01-05 03:07:15,2024-01-05 03:20:15,laura.smith,Technical Team,CityCouncil,Portal,false,7.8
SUP-2001231,Technical Support - Individual,Technical Support,High,Reopened,2024-01-20 19:32:32,2024-01-21 04:32:40,,ryan.kim,Technical Team,Individual,Email,false,
SUP-2001232,Feature Request - CityCouncil,Feature Request,High,Closed,2024-01-25 10:22:16,2024-01-25 17:10:07,2024-01-25 18:01:07,jennifer.wu,Product Team,CityCouncil,Email,false,6.9
SUP-2001233,Performance Issue - CityCouncil,Performance Issue,High,Closed,2024-01-24 09:34:04,2024-01-24 18:18:00,2024-01-24 18:53:00,sofia.moreau,Engineering,CityCouncil,Portal,false,6.6
SUP-2001234,Integration Problem - TechStart Inc,Integration Problem,Medium,Closed,2024-01-08 17:50:11,2024-01-09 16:48:52,2024-01-09 16:58:52,sofia.moreau,Integration Team,TechStart Inc,Portal,false,6.7
SUP-2001235,Feature Request - Individual,Feature Request,Medium,Escalated,2024-01-03 10:43:17,2024-01-04 15:50:21,,laura.smith,Product Team,Individual,Phone,false,
SUP-2001236,Integration Problem - RetailCo,Integration Problem,Medium,Closed,2024-01-08 12:23:08,2024-01-10 00:04:47,2024-01-10 00:17:47,alex.chen,Integration Team,RetailCo,Phone,false,7.4
SUP-2001237,Billing Issue - StartupXYZ,Billing Issue,Medium,Closed,2024-01-22 13:18:08,2024-01-25 10:56:16,2024-01-25 11:26:16,carlos.silva,Finance Support,StartupXYZ,Portal,false,
SUP-2001238,Performance Issue - StartupXYZ,Performance Issue,Low,Closed,2024-01-16 09:02:48,2024-01-17 23:20:50,2024-01-18 00:00:50,alex.chen,Engineering,StartupXYZ,Phone,false,
SUP-2001239,Billing Issue - RetailCo,Billing Issue,Medium,Closed,2024-01-11 12:03:52,2024-01-12 08:48:10,2024-01-12 08:56:10,thomas.berg,Finance Support,RetailCo,Portal,false,5.1
SUP-2001240,Data Export/Import - TechStart Inc,Data Export/Import,Low,Closed,2024-01-17 12:14:23,2024-01-19 04:33:10,2024-01-19 04:56:10,jennifer.wu,Technical Team,TechStart Inc,Phone,false,7.9
SUP-2001241,Technical Support - MedGroup,Technical Support,High,Closed,2024-01-09 08:10:27,2024-01-09 14:50:30,2024-01-09 15:13:30,maya.patel,Technical Team,MedGroup,Phone,false,6.1
SUP-2001242,Billing Issue - UniServices,Billing Issue,Critical,Closed,2024-01-02 08:43:02,2024-01-02 11:26:36,2024-01-02 12:16:36,thomas.berg,Finance Support,UniServices,Phone,false,6.4
SUP-2001243,Data Export/Import - Acme Corp,Data Export/Import,High,Reopened,2024-01-04 09:39:44,2024-01-05 13:05:17,,alex.chen,Technical Team,Acme Corp,Chat,false,
SUP-2001244,Feature Request - StartupXYZ,Feature Request,High,Closed,2024-01-10 23:27:33,2024-01-11 20:34:31,2024-01-11 21:33:31,ryan.kim,Product Team,StartupXYZ,Chat,false,5.6
SUP-2001245,Account Management - Acme Corp,Account Management,Medium,Closed,2024-01-11 09:05:38,2024-01-11 21:15:55,2024-01-11 21:53:55,maya.patel,Account Team,Acme Corp,Email,false,
SUP-2001246,Account Management - MedGroup,Account Management,Low,Closed,2024-01-25 13:31:20,2024-01-29 18:27:47,2024-01-29 19:24:47,alex.chen,Account Team,MedGroup,Portal,false,6.7
SUP-2001247,Feature Request - StartupXYZ,Feature Request,High,Escalated,2024-01-19 15:36:20,2024-01-20 09:02:48,,carlos.silva,Product Team,StartupXYZ,Email,false,
SUP-2001248,Performance Issue - Global Finance,Performance Issue,High,Closed,2024-01-22 11:34:12,2024-01-23 00:53:56,2024-01-23 00:58:56,sofia.moreau,Engineering,Global Finance,Email,false,5.8
SUP-2001249,Account Management - Individual,Account Management,Critical,Reopened,2024-01-05 10:29:32,2024-01-05 12:04:01,,alex.chen,Account Team,Individual,Phone,false,
